iter	RMSE
0	8.582239354
1	8.150942619
2	7.894504343
3	7.703936205
4	7.603866643
5	7.516416076
6	7.453398085
7	7.412071883
8	7.382838752
9	7.351834307
10	7.330883903
11	7.311865521
12	7.29376937
13	7.269688207
14	7.255595264
15	7.246240141
16	7.230647427
17	7.210397793
18	7.199765909
19	7.188406803
20	7.174089928
21	7.163978801
22	7.157352433
23	7.153420959
24	7.143819481
25	7.134421371
26	7.126745686
27	7.116703945
28	7.111217815
29	7.100940695
30	7.089367115
31	7.084295949
32	7.07726182
33	7.071548855
34	7.064589341
35	7.058834868
36	7.051271367
37	7.042075881
38	7.035133048
39	7.030652624
40	7.022427826
41	7.014223655
42	7.006746762
43	7.000925091
44	6.992600856
45	6.986363172
46	6.983405382
47	6.972989859
48	6.966691473
49	6.962490403
50	6.956368707
51	6.945649392
52	6.939409371
53	6.931831918
54	6.926037999
55	6.921642395
56	6.907625087
57	6.901571737
58	6.895433339
59	6.890083892
60	6.881363003
61	6.875899221
62	6.866787869
63	6.862485446
64	6.854969665
65	6.851271022
66	6.843975867
67	6.836668262
68	6.830629382
69	6.824891851
70	6.820962666
71	6.815982077
72	6.81108296
73	6.807081371
74	6.803760626
75	6.795518936
76	6.791674041
77	6.783717027
78	6.778155161
79	6.774786618
80	6.769725438
81	6.766411244
82	6.761418584
83	6.754192812
84	6.749552611
85	6.745246609
86	6.738643648
87	6.733375508
88	6.727920036
89	6.721771448
90	6.716670145
91	6.711815153
92	6.706988509
93	6.705469689
94	6.699556803
95	6.695525215
96	6.691964692
97	6.689477168
98	6.686270342
99	6.679382101
100	6.674611994
101	6.668683264
102	6.66521301
103	6.663642159
104	6.661441982
105	6.657895205
106	6.653698056
107	6.649775656
108	6.645497424
109	6.640842949
110	6.630544713
111	6.62629701
112	6.62167345
113	6.618766944
114	6.61368019
115	6.608974526
116	6.603341957
117	6.598716816
118	6.59461262
119	6.588165313
120	6.585695335
121	6.581719952
122	6.578359803
123	6.577364925
124	6.57375092
125	6.570846369
126	6.567237953
127	6.564911624
128	6.562973549
129	6.558646343
130	6.554938698
131	6.552335233
132	6.548497411
133	6.543723993
134	6.540339909
135	6.537391278
136	6.534194861
137	6.529375949
138	6.527876693
139	6.525316903
140	6.521458116
141	6.516306081
142	6.513101585
143	6.509680547
144	6.507512778
145	6.503771979
146	6.500234477
147	6.49831023
148	6.49631178
149	6.492503844
150	6.488320915
151	6.48296439
152	6.480371497
153	6.475486217
154	6.472809974
155	6.470366183
156	6.467909132
157	6.462916421
158	6.459477917
159	6.451769246
160	6.449068382
161	6.444794995
162	6.440863626
163	6.43733871
164	6.433437462
165	6.4323985
166	6.430411192
167	6.427844132
168	6.424782518
169	6.42169734
170	6.417562455
171	6.410707269
172	6.408854007
173	6.403526218
174	6.399913915
175	6.39741023
176	6.394680959
177	6.392259042
178	6.390001829
179	6.385577094
180	6.381596454
181	6.378738456
182	6.373622723
183	6.371871714
184	6.369490048
185	6.367791904
186	6.366429245
187	6.364575709
188	6.362363965
189	6.360656291
190	6.357605591
191	6.355380346
192	6.352275052
193	6.349729295
194	6.345963211
195	6.343541861
196	6.339282566
197	6.336154706
198	6.333113228
199	6.329926205
