iter	Passed	Remaining
0	23	4692
1	44	4419
2	64	4242
3	91	4464
4	113	4408
5	134	4358
6	154	4264
7	173	4163
8	191	4070
9	216	4113
10	237	4076
11	257	4028
12	276	3982
13	297	3956
14	318	3928
15	337	3882
16	361	3894
17	386	3910
18	407	3884
19	434	3908
20	459	3920
21	483	3910
22	504	3882
23	524	3848
24	554	3883
25	580	3885
26	601	3854
27	622	3826
28	645	3805
29	663	3761
30	684	3729
31	702	3688
32	720	3645
33	739	3612
34	760	3585
35	783	3568
36	803	3541
37	823	3511
38	844	3487
39	863	3453
40	884	3429
41	908	3417
42	928	3391
43	949	3366
44	970	3343
45	988	3308
46	1005	3274
47	1025	3246
48	1047	3227
49	1065	3197
50	1086	3173
51	1104	3144
52	1127	3126
53	1146	3100
54	1165	3073
55	1188	3057
56	1208	3033
57	1229	3010
58	1247	2982
59	1267	2956
60	1290	2940
61	1311	2919
62	1334	2901
63	1352	2875
64	1371	2848
65	1391	2825
66	1412	2803
67	1434	2784
68	1504	2856
69	1548	2875
70	1566	2846
71	1588	2823
72	1605	2793
73	1629	2774
74	1648	2746
75	1667	2721
76	1687	2694
77	1706	2668
78	1728	2647
79	1753	2630
80	1776	2609
81	1795	2583
82	1817	2561
83	1836	2536
84	1857	2513
85	1876	2487
86	1899	2467
87	1919	2442
88	1939	2418
89	1962	2399
90	1983	2376
91	2003	2351
92	2024	2329
93	2045	2306
94	2065	2283
95	2084	2258
96	2103	2233
97	2121	2207
98	2141	2185
99	2164	2164
100	2187	2144
101	2207	2120
102	2226	2096
103	2243	2071
104	2264	2048
105	2290	2031
106	2322	2018
107	2347	1999
108	2374	1982
109	2401	1965
110	2432	1950
111	2461	1933
112	2487	1915
113	2516	1898
114	2544	1880
115	2576	1866
116	2620	1858
117	2651	1842
118	2678	1823
119	2708	1805
120	2735	1785
121	2765	1768
122	2792	1748
123	2819	1728
124	2874	1724
125	2895	1700
126	2915	1676
127	2934	1650
128	2953	1625
129	2977	1603
130	2998	1579
131	3017	1554
132	3042	1532
133	3062	1508
134	3084	1485
135	3107	1462
136	3130	1439
137	3153	1416
138	3181	1396
139	3204	1373
140	3226	1350
141	3250	1327
142	3272	1304
143	3299	1283
144	3322	1260
145	3346	1237
146	3372	1215
147	3394	1192
148	3419	1170
149	3445	1148
150	3473	1127
151	3498	1104
152	3523	1082
153	3546	1059
154	3569	1036
155	3592	1013
156	3614	989
157	3643	968
158	3672	946
159	3698	924
160	3723	901
161	3746	878
162	3771	856
163	3795	833
164	3816	809
165	3838	786
166	3863	763
167	3884	739
168	3909	717
169	3933	694
170	3960	671
171	3983	648
172	4010	625
173	4033	602
174	4057	579
175	4079	556
176	4106	533
177	4129	510
178	4154	487
179	4178	464
180	4202	441
181	4223	417
182	4248	394
183	4273	371
184	4299	348
185	4322	325
186	4343	301
187	4366	278
188	4387	255
189	4417	232
190	4438	209
191	4461	185
192	4482	162
193	4504	139
194	4525	116
195	4545	92
196	4571	69
197	4593	46
198	4615	23
199	4636	0
